accX,accY,accZ
12,0,252
13,1,247
11,1,253
11,0,250
13,-1,252
12,0,253
11,0,252
12,1,252
13,1,249
12,2,248
11,2,249
14,0,251
11,0,253
13,1,250
15,1,251
12,1,250
11,1,250
12,1,252
12,1,250
13,1,251
12,1,251
13,1,250
12,2,248
11,2,249
12,1,251
13,2,249
11,2,249
12,1,251
13,2,249
12,0,253
11,1,249
11,0,252
13,1,251
12,1,249
12,0,252
12,2,250
13,1,250
14,2,248
11,3,248
12,0,251
13,0,253
12,1,251
11,2,251
13,0,250
12,0,251
12,0,251
13,0,250
12,1,250
13,1,255
12,0,252
12,1,251
13,1,250
12,0,253
13,0,250
13,0,252
12,1,250
12,1,251
12,1,250
12,2,251
12,1,253
13,1,249
12,1,252
12,0,253
13,0,252
11,1,253
13,1,251
13,1,251
12,1,249
13,2,250
11,1,251
13,1,251
13,1,248
11,0,253
13,0,252
11,1,250
12,1,247
12,1,250
12,2,251
12,0,253
10,2,248
12,0,252
11,1,250
11,1,254
12,1,250
11,-1,253
11,-1,252
13,0,253
12,1,250
12,-1,252
13,1,250
13,-1,252
11,1,252
12,0,253
12,1,250
12,1,250
11,1,250
12,1,252
13,1,251
11,1,252
14,0,254
12,1,251
12,1,249
13,0,252
12,2,251
10,0,252
12,0,250
13,0,253
12,1,249
11,1,251
11,0,252
12,0,250
13,1,248
12,1,251
12,0,251
12,0,253
12,1,249
13,0,252
14,1,250
13,2,250
12,0,250
12,1,251
12,1,250
13,1,249
15,0,250
10,1,252
12,2,248
14,3,247
11,2,249
12,2,248
13,1,247
11,0,255
11,1,251
13,1,250
12,1,251
11,1,251
11,1,253
13,0,251
12,-1,253
13,0,252
11,1,252
12,1,250
12,1,249
13,0,253
12,1,252
12,1,252
12,-1,251
12,1,249
13,1,250
12,1,249
13,1,248
13,0,251
11,1,252
14,1,250
11,0,252
11,0,254
13,2,249
14,0,250
13,2,248
11,0,252
13,1,248
14,-1,254
12,0,253
12,1,252
12,2,251
13,2,251
13,0,251
11,1,251
12,0,252
11,0,252
13,1,251
12,1,249
12,1,250
13,1,253
11,1,251
11,1,252
12,0,248
11,2,250
12,1,254
12,2,252
12,1,250
13,1,251
13,-1,254
12,0,252
13,1,251
10,1,251
11,1,252
12,0,250
12,1,250
9,2,251
13,0,255
11,0,252
12,0,250
14,2,247
12,1,249
11,1,250
12,3,248
10,-1,254
13,1,252
13,0,251
13,0,251
13,1,250
12,1,253
12,1,251
12,1,252
13,1,251
14,1,251
11,2,251
11,0,251
14,2,250
13,1,250
12,1,250
12,1,251
12,0,251
13,2,248
12,1,253
12,1,249
13,0,253
12,1,249
13,1,251
13,1,249
14,1,250
11,0,251
12,1,252
10,2,250
